book_title,book_author,film_title,film_year,fiction_work_raw,film_adaptation_raw,exclusion_reason
The Chronicles of Narnia,C.S. Lewis,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"The Chronicles of Narnia (1950–1956) (series), C.S. Lewis",The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),source_is_series_not_single_book
The Chronicles of Prydain,Lloyd Alexander,The Black Cauldron,1985,"The Chronicles of Prydain (1964—1968) (series), Lloyd Alexander",The Black Cauldron (1985),source_is_series_not_single_book
Cycle of the Werewolf,Stephen King,Silver Bullet,1985,"Cycle of the Werewolf (1983), Stephen King",Silver Bullet (1985),source_is_series_not_single_book
The Dark Is Rising Sequence,Susan Cooper,The Seeker,2007,"The Dark Is Rising Sequence (1965–1977) (series), Susan Cooper",The Seeker (2007),source_is_series_not_single_book
The Dark Tower,Stephen King,The Dark Tower,2017,"The Dark Tower (1998–2012) (series), Stephen King",The Dark Tower (2017),source_is_series_not_single_book
Fifty Shades,E. L. James,Fifty Shades of Grey,2015,"Fifty Shades (2011—2012) (series), E. L. James",Fifty Shades of Grey (2015),source_is_series_not_single_book
Fifty Shades,E. L. James,Fifty Shades Darker,2017,"Fifty Shades (2011—2012) (series), E. L. James",Fifty Shades Darker (2017),source_is_series_not_single_book
Fifty Shades,E. L. James,Fifty Shades Freed,2018,"Fifty Shades (2011—2012) (series), E. L. James",Fifty Shades Freed (2018),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: Overlooking View,2007,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: Overlooking View (2007),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: A Study in Murder – Part 1,2007,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: A Study in Murder – Part 1 (2007),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: Remaining Sense of Pain,2008,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: Remaining Sense of Pain (2008),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: The Hollow Shrine,2008,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: The Hollow Shrine (2008),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: Paradox Spiral,2008,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: Paradox Spiral (2008),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: Oblivion Recording,2008,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: Oblivion Recording (2008),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: A Study in Murder – Part 2,2009,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: A Study in Murder – Part 2 (2009),source_is_series_not_single_book
The Garden of Sinners,Kinoko Nasu,The Garden of Sinners: Future Gospel,2013,"The Garden of Sinners (空の境界, Kara no Kyōkai) (1998–1999) (series), Kinoko Nasu",The Garden of Sinners: Future Gospel (2013),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Philosopher's Stone,2001,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Philosopher's Stone (2001),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Chamber of Secrets,2002,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Chamber of Secrets (2002),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Prisoner of Azkaban,2004,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Prisoner of Azkaban (2004),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Goblet of Fire,2005,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Goblet of Fire (2005),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Order of the Phoenix,2007,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Order of the Phoenix (2007),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Half-Blood Prince,2009,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Half-Blood Prince (2009),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Deathly Hallows – Part 1,2010,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Deathly Hallows – Part 1 (2010),source_is_series_not_single_book
Harry Potter,J. K. Rowling,Harry Potter and the Deathly Hallows – Part 2,2011,"Harry Potter (1997–2007) (series), J. K. Rowling",Harry Potter and the Deathly Hallows – Part 2 (2011),source_is_series_not_single_book
Haruchika,Sei Hatsuno,Haruta & Chika,2017,"Haruchika (ハルチカ) (2008–present) (series), Sei Hatsuno",Haruta & Chika (2017),source_is_series_not_single_book
The Hunger Games,Suzanne Collins,The Hunger Games,2012,"The Hunger Games (2008–2010, 2020–2025) (series), Suzanne Collins",The Hunger Games (2012),source_is_series_not_single_book
The Hunger Games,Suzanne Collins,The Hunger Games: Catching Fire,2013,"The Hunger Games (2008–2010, 2020–2025) (series), Suzanne Collins",The Hunger Games: Catching Fire (2013),source_is_series_not_single_book
The Hunger Games,Suzanne Collins,The Hunger Games: Mockingjay - Part 1,2014,"The Hunger Games (2008–2010, 2020–2025) (series), Suzanne Collins",The Hunger Games: Mockingjay - Part 1 (2014),source_is_series_not_single_book
The Hunger Games,Suzanne Collins,The Hunger Games: Mockingjay - Part 2,2015,"The Hunger Games (2008–2010, 2020–2025) (series), Suzanne Collins",The Hunger Games: Mockingjay - Part 2 (2015),source_is_series_not_single_book
The Hunger Games,Suzanne Collins,The Hunger Games: The Ballad of Songbirds & Snakes,2023,"The Hunger Games (2008–2010, 2020–2025) (series), Suzanne Collins",The Hunger Games: The Ballad of Songbirds & Snakes (2023),source_is_series_not_single_book
Left Behind,Tim LaHaye and Jerry B. Jenkins,Left Behind: The Movie,2000,"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins",Left Behind: The Movie (2000),source_is_series_not_single_book
Left Behind,Tim LaHaye and Jerry B. Jenkins,Left Behind II: Tribulation Force,2002,"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins",Left Behind II: Tribulation Force (2002),source_is_series_not_single_book
Left Behind,Tim LaHaye and Jerry B. Jenkins,Left Behind: World at War,2005,"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins",Left Behind: World at War (2005),source_is_series_not_single_book
Left Behind,Tim LaHaye and Jerry B. Jenkins,Left Behind,2014,"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins",Left Behind (2014),source_is_series_not_single_book
Longarm,Lou Cameron,Longarm,1987,"Longarm (1978–2006) (series), Lou Cameron",Longarm (1987),source_is_series_not_single_book
Mary Poppins,P. L. Travers,Mary Poppins Returns,2018,"Mary Poppins (1934–1988) (series), P. L. Travers",Mary Poppins Returns (2018),source_is_series_not_single_book
Millennium,Stieg Larsson,The Girl with the Dragon Tattoo,2009,"Millennium (2005–2007) (series), Stieg Larsson",The Girl with the Dragon Tattoo (2009),source_is_series_not_single_book
Millennium,Stieg Larsson,The Girl Who Played with Fire,2009,"Millennium (2005–2007) (series), Stieg Larsson",The Girl Who Played with Fire (2009),source_is_series_not_single_book
Millennium,Stieg Larsson,The Girl Who Kicked the Hornets' Nest,2009,"Millennium (2005–2007) (series), Stieg Larsson",The Girl Who Kicked the Hornets' Nest (2009),source_is_series_not_single_book
Millennium,Stieg Larsson,The Girl with the Dragon Tattoo,2011,"Millennium (2005–2007) (series), Stieg Larsson",The Girl with the Dragon Tattoo (2011),source_is_series_not_single_book
Nurse Matilda,Christianna Brand,Nanny McPhee,2005,"Nurse Matilda (1964–1974) (series), Christianna Brand",Nanny McPhee (2005),source_is_series_not_single_book
Nurse Matilda,Christianna Brand,Nanny McPhee and the Big Bang,2010,"Nurse Matilda (1964–1974) (series), Christianna Brand",Nanny McPhee and the Big Bang (2010),source_is_series_not_single_book
Percy Jackson & the Olympians,Rick Riordan,Percy Jackson & the Olympians: The Lightning Thief,2010,"Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan",Percy Jackson & the Olympians: The Lightning Thief (2010),source_is_series_not_single_book
Percy Jackson & the Olympians,Rick Riordan,Percy Jackson: Sea of Monsters,2013,"Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan",Percy Jackson: Sea of Monsters (2013),source_is_series_not_single_book
The Princess Diaries,Meg Cabot,The Princess Diaries,2002,"The Princess Diaries (2000–2009) (series), Meg Cabot",The Princess Diaries (2002),source_is_series_not_single_book
The Princess Diaries,Meg Cabot,The Princess Diaries 2: Royal Engagement,2004,"The Princess Diaries (2000–2009) (series), Meg Cabot",The Princess Diaries 2: Royal Engagement (2004),source_is_series_not_single_book
Riverworld,Philip José Farmer,Riverworld,2003,"Riverworld (1971–1983) (series), Philip José Farmer",Riverworld (2003),source_is_series_not_single_book
Riverworld,Philip José Farmer,Riverworld,2010,"Riverworld (1971–1983) (series), Philip José Farmer",Riverworld (2010),source_is_series_not_single_book
The Saga of Pecos Bill,Edward O'Reilly,Tall Tale,1995,"The Saga of Pecos Bill (1923), Edward O'Reilly",Tall Tale (1995),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,"Tarzan, the Ape Man",1981,"Tarzan (1912–1965) (series), Edgar Rice Burroughs","Tarzan, the Ape Man (1981)",source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,"Tarzan (1912–1965) (series), Edgar Rice Burroughs","Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Adventures of Tarzan,1985,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Adventures of Tarzan (1985),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Tarzan and the Lost City,1998,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Tarzan and the Lost City (1998),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Tarzan of the Apes,1999,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Tarzan of the Apes (1999),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Tarzan,1999,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Tarzan (1999),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Tarzan Ki Beti,2002,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Tarzan Ki Beti (2002),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Tarzan & Jane,2002,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Tarzan & Jane (2002),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Tarzan II,2005,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Tarzan II (2005),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,Tarzan,2013,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",Tarzan (2013),source_is_series_not_single_book
Tarzan,Edgar Rice Burroughs,The Legend of Tarzan,2016,"Tarzan (1912–1965) (series), Edgar Rice Burroughs",The Legend of Tarzan (2016),source_is_series_not_single_book
Twilight,Stephenie Meyer,Twilight,2008,"Twilight (2005–2008) (series), Stephenie Meyer",Twilight (2008),source_is_series_not_single_book
Twilight,Stephenie Meyer,The Twilight Saga: New Moon,2009,"Twilight (2005–2008) (series), Stephenie Meyer",The Twilight Saga: New Moon (2009),source_is_series_not_single_book
Twilight,Stephenie Meyer,The Twilight Saga: Eclipse,2010,"Twilight (2005–2008) (series), Stephenie Meyer",The Twilight Saga: Eclipse (2010),source_is_series_not_single_book
Twilight,Stephenie Meyer,The Twilight Saga: Breaking Dawn – Part 1,2011,"Twilight (2005–2008) (series), Stephenie Meyer",The Twilight Saga: Breaking Dawn – Part 1 (2011),source_is_series_not_single_book
Twilight,Stephenie Meyer,The Twilight Saga: Breaking Dawn – Part 2,2012,"Twilight (2005–2008) (series), Stephenie Meyer",The Twilight Saga: Breaking Dawn – Part 2 (2012),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Pooh's Grand Adventure: The Search for Christopher Robin,1997,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Pooh's Grand Adventure: The Search for Christopher Robin (1997),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Winnie the Pooh: Seasons of Giving,1999,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Winnie the Pooh: Seasons of Giving (1999),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,The Tigger Movie,2000,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",The Tigger Movie (2000),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,The Book of Pooh: Stories from the Heart,2001,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",The Book of Pooh: Stories from the Heart (2001),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Winnie the Pooh: A Very Merry Pooh Year,2002,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Winnie the Pooh: A Very Merry Pooh Year (2002),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Piglet's Big Movie,2003,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Piglet's Big Movie (2003),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Winnie the Pooh: Springtime with Roo,2004,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Winnie the Pooh: Springtime with Roo (2004),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Pooh's Heffalump Movie,2005,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Pooh's Heffalump Movie (2005),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Pooh's Heffalump Halloween Movie,2005,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Pooh's Heffalump Halloween Movie (2005),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Super Sleuth Christmas Movie,2007,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Super Sleuth Christmas Movie (2007),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Tigger and Pooh and a Musical Too,2009,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Tigger and Pooh and a Musical Too (2009),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Super Duper Super Sleuths,2010,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Super Duper Super Sleuths (2010),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Winnie the Pooh,2011,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Winnie the Pooh (2011),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Christopher Robin,2018,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Christopher Robin (2018),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Winnie-the-Pooh: Blood and Honey,2023,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Winnie-the-Pooh: Blood and Honey (2023),source_is_series_not_single_book
Winnie-the-Pooh,A.A. Milne,Winnie-the-Pooh: Blood and Honey 2,2024,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne",Winnie-the-Pooh: Blood and Honey 2 (2024),source_is_series_not_single_book
At Play in the Fields of the Lord,Peter Matthiessen,At Play in the Fields of the Lord,1991,"At Play in the Fields of the Lord (1965), Peter Matthiessen",At Play in the Fields of the Lord (1991),source_is_not_novel_or_single_book
The Beast Master,Andre Norton,Beastmaster III: The Eye of Braxus (1996) (TV),1996,"The Beast Master (1959), Andre Norton",Beastmaster III: The Eye of Braxus (1996) (TV),film_appears_to_be_tv_or_dtv
Le Blé en herbe,Colette,Le Blé en herbe (1990) (TV),1990,"Le Blé en herbe (1923), Colette",Le Blé en herbe (1990) (TV),film_appears_to_be_tv_or_dtv
Buffalo Girls,Larry McMurtry,Buffalo Girls (1995) (TV) (mini),1995,"Buffalo Girls (1990), Larry McMurtry",Buffalo Girls (1995) (TV) (mini),film_appears_to_be_tv_or_dtv
Great Expectations,Charles Dickens,Great Expectations (1999) (TV),1999,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",Great Expectations (1999) (TV),film_appears_to_be_tv_or_dtv
One Hundred Years Ahead,Kir Bulychev,Guest from the Future (Russian: Гостья из будущего) (1985) (TV),1985,"One Hundred Years Ahead (Russian: Сто лет тому вперед) (1976), Kir Bulychev",Guest from the Future (Russian: Гостья из будущего) (1985) (TV),film_appears_to_be_tv_or_dtv
The Other Boleyn Girl,Philippa Gregory,The Other Boleyn Girl (2003) (TV),2003,"The Other Boleyn Girl (2001), Philippa Gregory",The Other Boleyn Girl (2003) (TV),film_appears_to_be_tv_or_dtv
The Sea-Wolf,Jack London,The Sea Wolf (1993) (TV),1993,"The Sea-Wolf (1904), Jack London",The Sea Wolf (1993) (TV),film_appears_to_be_tv_or_dtv
Split Images,Elmore Leonard,Split Images (1992) (TV),1992,"Split Images (1981), Elmore Leonard",Split Images (1992) (TV),film_appears_to_be_tv_or_dtv
The Sun Also Rises,Ernest Hemingway,The Sun Also Rises (1984) (TV),1984,"The Sun Also Rises (1926), Ernest Hemingway",The Sun Also Rises (1984) (TV),film_appears_to_be_tv_or_dtv
Treasure Island,Robert Louis Stevenson,Return to Treasure Island (1998) (TV),1998,"Treasure Island (1883), Robert Louis Stevenson",Return to Treasure Island (1998) (TV),film_appears_to_be_tv_or_dtv
4.50 from Paddington,Agatha Christie,Crime Is Our Business,2008,"4.50 from Paddington (1957), Agatha Christie",Crime Is Our Business (French: Le Crime est notre affaire) (2008),likely_non_english_language_film
An Ancient Tale: A Novel in Polish History,Józef Ignacy Kraszewski,An Ancient Tale: When the Sun Was a God,2003,"An Ancient Tale: A Novel in Polish History (Polish: Stara baśń. Powieść z dziejów Polski) (1876), Józef Ignacy Kraszewski",An Ancient Tale: When the Sun Was a God (Polish: Stara baśń: Kiedy słońce było bogiem) (2003),likely_non_english_language_film
Balzac and the Little Chinese Seamstress,Dai Sijie,Balzac and the Little Chinese Seamstress,2002,"Balzac and the Little Chinese Seamstress (French: Balzac et la petite tailleuse chinoise) (2000), Dai Sijie",Balzac and the Little Chinese Seamstress (2002),likely_non_english_language_film
Confessions of a Crap Artist,Philip K. Dick,Barjo,1992,"Confessions of a Crap Artist (1975), Philip K. Dick",Barjo (French: Confessions d'un Barjo) (1992),likely_non_english_language_film
Death Notice,Zhou Haohui,Death Notice,2023,"Death Notice (Chinese: 死亡通知单：暗黑者) (2014), Zhou Haohui",Death Notice (Chinese: 暗殺風暴) (2023),likely_non_english_language_film
Diary of a Mad Old Man,Jun'ichirō Tanizaki,Diary of a Old Man,1987,"Diary of a Mad Old Man (瘋癲老人日記, Fūten rōjin nikki) (1961), Jun'ichirō Tanizaki",Diary of a Old Man (Dutch: Dagboek van een Oude Dwaas) (1987),likely_non_english_language_film
Fear and Trembling,Amélie Nothomb,Fear and Trembling,2003,"Fear and Trembling (French: Stupeur et tremblements) (1999), Amélie Nothomb",Fear and Trembling (French: Stupeur et Tremblements) (2003),likely_non_english_language_film
La chair du maître,Dany Laferrière,Heading South,2005,"La chair du maître (1997), Dany Laferrière",Heading South (French: Vers le sud) (2005),likely_non_english_language_film
Live Flesh,Ruth Rendell,Live Flesh,1997,"Live Flesh (1986), Ruth Rendell",Live Flesh (Spanish: Carne trémula) (1997),likely_non_english_language_film
Midaq Alley,Naguib Mahfouz,Midaq Alley,1995,"Midaq Alley (Arabic: زقاق المدق, romanized: Zuqāq al-Midaqq) (1947), Naguib Mahfouz",Midaq Alley (Spanish: El callejón de los milagros) (1995),likely_non_english_language_film
Mother of Mine,Heikki Hietamies,Mother of Mine,2005,"Mother of Mine (Finnish: Äideistä parhain) (1999), Heikki Hietamies","Mother of Mine (Finnish: Äideistä parhain, Swedish: Den bästa av mödrar) (2005)",likely_non_english_language_film
Sacred Wood,Liu Qingbang,Blind Shaft,2003,"Sacred Wood (Chinese: 神木 Shen Mu) (1999), Liu Qingbang",Blind Shaft (Chinese: 盲井; pinyin: Mángjǐng) (2003),likely_non_english_language_film
Story of O,Anne Desclos (as Pauline Réage),Story of O: Chapter 2,1984,"Story of O (French: Histoire d'O) (1954), Anne Desclos (as Pauline Réage)",Story of O: Chapter 2 (French: Histoire d'O: Chapitre 2) (1984),likely_non_english_language_film
The Adventures of Sherlock Holmes,Arthur Conan Doyle,The Blue Carbuncle,1980,"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle",The Blue Carbuncle (Russian: Голубой карбункул) (1980),likely_non_english_language_film
The Amateur,Mauricio Dayub,The Amateur,1999,"The Amateur (Spanish: El Amateur) (1990), Mauricio Dayub",The Amateur (Spanish: El Amateur) (1999),likely_non_english_language_film
The Ax,Donald E. Westlake,The Axe,2005,"The Ax (1997), Donald E. Westlake",The Axe (French: Le couperet) (2005),likely_non_english_language_film
The Beast in the Heart,Cristina Comencini,Don't Tell,2005,"The Beast in the Heart (Italian: La bestia nel cuore) (2003), Cristina Comencini",Don't Tell (Italian: La bestia nel cuore) (2005),likely_non_english_language_film
The Blue Room,Georges Simenon,The Blue Room,2002,"The Blue Room (French: La Chambre bleue) (1964), Georges Simenon",The Blue Room (Spanish: La habitación azul) (2002),likely_non_english_language_film
The French Lieutenant's Woman,John Fowles,The French Lieutenant's Woman,1981,"The French Lieutenant's Woman (1969), John Fowles",The French Lieutenant's Woman (1981),likely_non_english_language_film
The Good German,Joseph Kanon,The Good German,2006,"The Good German (2001), Joseph Kanon",The Good German (2006),likely_non_english_language_film
The Grizzly King,James Oliver Curwood,The Bear,1988,"The Grizzly King (1916), James Oliver Curwood",The Bear (French: L'Ours) (1988),likely_non_english_language_film
The Riddle of the Sands: A Record of Secret Service,Erskine Childers,The Riddle of the Sands,1985,"The Riddle of the Sands: A Record of Secret Service (1903), Erskine Childers",The Riddle of the Sands (German: Das Rätsel der Sandbank) (1985),likely_non_english_language_film
Water Margin,Shi Nai'an,Troublesome Night 16,2002,"Water Margin (Chinese: 水滸傳) (1963), Shi Nai'an",Troublesome Night 16 (Chinese: 水滸傳) (2002),likely_non_english_language_film
Will O' the Wisp,Pierre Drieu La Rochelle,"Oslo, August 31st",2011,"Will O' the Wisp (French: Le feu follet) (1931), Pierre Drieu La Rochelle","Oslo, August 31st (Norwegian: Oslo, 31. august) (2011)",likely_non_english_language_film
Slayground,Donald E. Westlake,Slayground,1983,"Slayground (1971), Donald E. Westlake",Slayground (1983),not_selected_sampling_design
Terms of Endearment,Larry McMurtry,Terms of Endearment,1983,"Terms of Endearment (1975), Larry McMurtry",Terms of Endearment (1983),not_selected_sampling_design
Tex,S. E. Hinton,Tex,1982,"Tex (1979), S. E. Hinton",Tex (1982),not_selected_sampling_design
The Apple Dumpling Gang,Jack Bickham,Tales from the Apple Dumpling Gang,1982,"The Apple Dumpling Gang (1971), Jack Bickham",Tales from the Apple Dumpling Gang (1982),not_selected_sampling_design
The Blue Lagoon,Henry De Vere Stacpoole,The Blue Lagoon,1980,"The Blue Lagoon (1908), Henry De Vere Stacpoole",The Blue Lagoon (1980),not_selected_sampling_design
The Boat,Lothar-Günther Buchheim,Das Boot (The Boat),1981,"The Boat (German: Das Boot) (1973), Lothar-Günther Buchheim",Das Boot (The Boat) (1981),not_selected_sampling_design
The Book of Daniel,E. L. Doctorow,Daniel,1983,"The Book of Daniel (1971), E. L. Doctorow",Daniel (1983),not_selected_sampling_design
The Bostonians,Henry James,The Bostonians,1984,"The Bostonians (serialised 1885–1886, published as a book 1886), Henry James",The Bostonians (1984),not_selected_sampling_design
The Dream Master,Roger Zelazny,Dreamscape,1984,"The Dream Master (1966), Roger Zelazny",Dreamscape (1984),not_selected_sampling_design
The Entity,Frank De Felitta,The Entity,1982,"The Entity (1978), Frank De Felitta",The Entity (1982),not_selected_sampling_design
The Formula,Steve Shagan,The Formula,1980,"The Formula (1979), Steve Shagan",The Formula (1980),not_selected_sampling_design
The Fourth Man,Gerard Reve,The Fourth Man,1983,"The Fourth Man (Dutch: De vierde man) (1981), Gerard Reve",The Fourth Man (1983),not_selected_sampling_design
The Game of X,Robert Sheckley,Condorman,1981,"The Game of X (1965), Robert Sheckley",Condorman (1981),not_selected_sampling_design
The Heart of the Matter,Graham Greene,The Heart of the Matter,1983,"The Heart of the Matter (1948), Graham Greene",The Heart of the Matter (1983),not_selected_sampling_design
The Home and the World,Rabindranath Tagore,Ghare Baire,1984,"The Home and the World (Bengali: ঘরে বাইরে, Ghôre Baire) (1916), Rabindranath Tagore",Ghare Baire (1984),not_selected_sampling_design
The Honorary Consul,Graham Greene,The Honorary Consul,1983,"The Honorary Consul (1973), Graham Greene",The Honorary Consul (1983),not_selected_sampling_design
The Last Unicorn,Peter S. Beagle,The Last Unicorn,1982,"The Last Unicorn (1968), Peter S. Beagle",The Last Unicorn (1982),not_selected_sampling_design
The Legend of the Condor Heroes,Jin Yong,The Brave Archer and His Mate,1982,"The Legend of the Condor Heroes (Chinese: 射鵰英雄傳, Shè Diāo Yīng Xióng Zhuàn) (1957–1959), Jin Yong",The Brave Archer and His Mate (1982),not_selected_sampling_design
The Lizard's Tail,Marc Brandell,The Hand,1981,"The Lizard's Tail (1979), Marc Brandell",The Hand (1981),not_selected_sampling_design
The Lords of Discipline,Pat Conroy,The Lords of Discipline,1983,"The Lords of Discipline (1980), Pat Conroy",The Lords of Discipline (1983),not_selected_sampling_design
The Naked Face,Sidney Sheldon,The Naked Face,1984,"The Naked Face (1970), Sidney Sheldon",The Naked Face (1984),not_selected_sampling_design
The Natural,Bernard Malamud,The Natural,1984,"The Natural (1952), Bernard Malamud",The Natural (1984),not_selected_sampling_design
The Ninth Configuration,William Peter Blatty,The Ninth Configuration,1980,"The Ninth Configuration (1978), William Peter Blatty",The Ninth Configuration (1980),not_selected_sampling_design
The Pope of Greenwich Village,Vincent Patrick,The Pope of Greenwich Village,1984,"The Pope of Greenwich Village (1979), Vincent Patrick",The Pope of Greenwich Village (1984),not_selected_sampling_design
The Postman Always Rings Twice,James Cain,The Postman Always Rings Twice,1981,"The Postman Always Rings Twice (1934), James Cain",The Postman Always Rings Twice (1981),not_selected_sampling_design
The Razor's Edge,W. Somerset Maugham,The Razor's Edge,1984,"The Razor's Edge (1944), W. Somerset Maugham",The Razor's Edge (1984),not_selected_sampling_design
The Return of the Condor Heroes,Jin Yong,The Brave Archer and His Mate,1982,"The Return of the Condor Heroes (神鵰俠侶; Shén Diāo Xiá Lǚ) (1959), Jin Yong",The Brave Archer and His Mate (1982),not_selected_sampling_design
The Salamander,Morris West,The Salamander,1981,"The Salamander (1973), Morris West",The Salamander (1981),not_selected_sampling_design
The Shrinking Man,Richard Matheson,The Incredible Shrinking Woman,1981,"The Shrinking Man (1956), Richard Matheson",The Incredible Shrinking Woman (1981),not_selected_sampling_design
The Turning Point,Hermann Kant,The Turning Point,1983,"The Turning Point (German: Der Aufenthalt) (1977), Hermann Kant",The Turning Point (1983),not_selected_sampling_design
The Winter of Our Discontent,John Steinbeck,The Winter of Our Discontent,1983,"The Winter of Our Discontent (1961), John Steinbeck",The Winter of Our Discontent (1983),not_selected_sampling_design
The Wolfen,Whitley Strieber,Wolfen,1981,"The Wolfen (1978), Whitley Strieber",Wolfen (1981),not_selected_sampling_design
